Name,Text,Summary
001.txt,"Gallery unveils interactive tree

A Christmas tree that can receive text messages has been unveiled at London's Tate Britain art gallery.

The spruce has an antenna which can receive Bluetooth texts sent by visitors to the Tate. The messages will be ""unwrapped"" by sculptor Richard Wentworth, who is responsible for decorating the tree with broken plates and light bulbs. It is the 17th year that the gallery has invited an artist to dress their Christmas tree. Artists who have decorated the Tate tree in previous years include Tracey Emin in 2002.

The plain green Norway spruce is displayed in the gallery's foyer. Its light bulb adornments are dimmed, ordinary domestic ones joined together with string. The plates decorating the branches will be auctioned off for the children's charity ArtWorks. Wentworth worked as an assistant to sculptor Henry Moore in the late 1960s. His reputation as a sculptor grew in the 1980s, while he has been one of the most influential teachers during the last two decades. Wentworth is also known for his photography of mundane, everyday subjects such as a cigarette packet jammed under the wonky leg of a table.
","the spruce has an antenna which can receive Bluetooth texts. messages will be ""unwrapped"" by sculptor Richard Wentworth. it is the 17th year that the gallery has invited an artist to dress their tree."
002.txt,"Jarre joins fairytale celebration

French musician Jean-Michel Jarre is to perform at a concert in Copenhagen to mark the bicentennial of the birth of writer Hans Christian Andersen.

Denmark is holding a three-day celebration of the life of the fairy-tale author, with a concert at Parken stadium on 2 April. Other stars are expected to join the line-up in the coming months, and the Danish royal family will attend. ""Christian Andersen's fairy tales are timeless and universal,"" said Jarre. ""For all of us, at any age there is always - beyond the pure enjoyment of the tale - a message to learn."" There are year-long celebrations planned across the world to celebrate Andersen and his work, which includes The Emperor's New Clothes and The Little Mermaid. Denmark's Crown Prince Frederik and Crown Princess Mary visited New York on Monday to help promote the festivities. The pair were at a Manhattan library to honour US literary critic Harold Bloom ""the international icon we thought we knew so well"".

""Bloom recognizes the darker aspects of Andersen's authorship,"" Prince Frederik said. Bloom is to be formally presented with the Hans Christian Andersen Award this spring in Anderson's hometown of Odense. The royal couple also visited the Hans Christian Anderson School complex, where Queen Mary read The Ugly Duckling to the young audience. Later at a gala dinner, Danish supermodel Helena Christensen was named a Hans Christian Andersen ambassador. Other ambassadors include actors Harvey Keitel and Sir Roger Moore, athlete Cathy Freeman and Brazilian soccer legend Pele.
","""Christian Andersen's fairy tales are timeless and universal,"" says Jean-Michel Jarre. there are year-long celebrations planned across the world to celebrate Andersen and his work. the royal couple also visited the Hans Christian Anderson School complex."
003.txt,"Musical treatment for Capra film

The classic film It's A Wonderful Life is to be turned into a musical by the producer of the controversial hit show Jerry Springer - The Opera.

Frank Capra's 1946 movie starring James Stewart, is being turned into a £7m musical by producer Jon Thoday. He is working with Steve Brown, who wrote the award-winning musical Spend Spend Spend. A spokeswoman said the plans were in the ""very early stages"", with no cast, opening date or theatre announced.

A series of workshops have been held in London, and on Wednesday a cast of singers unveiled the musical to a select group of potential investors. Mr Thoday said the idea of turning the film into a musical had been an ambition of his for almost 20 years. It's a Wonderful Life was based on a short story, The Greatest Gift, by Philip van Doren Stern. Mr Thoday managed to buy the rights to the story from Van Doren Stern's family in 1999, following Mr Brown's success with Spend Spend Spend. He later secured the film rights from Paramount, enabling them to use the title It's A Wonderful Life.
","the musical is being turned into a musical by producer Jon Thoday. he is working with Steve Brown, who wrote the award-winning musical Spend Spend Spend. it's a Wonderful Life was based on a short story by Philip van Doren Stern."
004.txt,"Richard and Judy choose top books

The 10 authors shortlisted for a Richard and Judy book award in 2005 are hoping for a boost in sales following the success of this year's winner.

The TV couple's interest in the book world coined the term ""the Richard & Judy effect"" and created the top two best-selling paperbacks of 2004 so far. The finalists for 2005 include Andrew Taylor's The American Boy and Robbie Williams' autobiography Feel. This year's winner, Alice Sebold's The Lovely Bones, sold over one million. Joseph O'Connor's Star of the Sea came second and saw sales increase by 350%. The best read award, on Richard Madeley and Judy Finnigan's Channel 4 show, is part of the British Book Awards. David Mitchell's Booker-shortlisted novel, Cloud Atlas, makes it into this year's top 10 along with several lesser known works.

""There's no doubt that this year's selection of book club entries is the best yet. If anything, the choice is even wider than last time,"" said Madeley. ""It was very hard to follow last year's extremely successful list, but we think this year's books will do even better,"" said Richard and Judy executive producer Amanda Ross. ""We were spoiled for choice and it was tough getting down to only 10 from the 301 submitted.""
","the 10 authors shortlisted for a Richard and Judy book award in 2005 are hoping for a boost in sales. the finalists include Andrew Taylor's The American Boy and Robbie Williams' autobiography Feel. this year's winner, Alice Sebold's The Lovely Bones, sold over one million."
005.txt,"Poppins musical gets flying start

The stage adaptation of children's film Mary Poppins has had its opening night in London's West End.

Sir Cameron Mackintosh's lavish production, which has cost £9m to bring to the stage, was given a 10-minute standing ovation. Lead actress Laura Michelle Kelly soared over the heads of the audience holding the nanny's trademark umbrella. Technical hitches had prevented Mary Poppins' flight into the auditorium during preview performances. A number of celebrities turned out for the musical's premiere, including actress Barbara Windsor, comic Graham Norton and Sir Richard Attenborough.

The show's director Richard Eyre issued a warning earlier in the week that the show was unsuitable for children under seven, while under-threes are barred. Mary Poppins was originally created by author Pamela Travers, who is said to have cried when she saw Disney's 1964 film starring Julie Andrews. Travers had intended the story to be a lot darker than the perennial family favourite. Theatre impresario Sir Cameron Mackintosh has said he hopes the musical is a blend of the sweet-natured film and the original book.
",the stage adaptation of children's film Mary Poppins has had its opening night in west end. theatre impresario Sir Cameron Mackintosh hopes the musical is a blend of the sweet-natured film and the original book.
006.txt,"Bennett play takes theatre prizes

The History Boys by Alan Bennett has been named best new play in the Critics' Circle Theatre Awards.

Set in a grammar school, the play also earned a best actor prize for star Richard Griffiths as teacher Hector. The Producers was named best musical, Victoria Hamilton was best actress for Suddenly Last Summer and Festen's Rufus Norris was named best director. The History Boys also won the best new comedy title at the Theatregoers' Choice Awards.

Partly based upon Alan Bennett's experience as a teacher, The History Boys has been at London's National Theatre since last May. The Critics' Circle named Rebecca Lenkiewicz its most promising playwright for The Night Season, and Eddie Redmayne most promising newcomer for The Goat or, Who is Sylvia?

Paul Rhys was its best Shakespearean performer for Measure for Measure at the National Theatre and Christopher Oram won the design award for Suddenly Last Summer. Both the Critics' Circle and Whatsonstage.com Theatregoers' Choice award winners were announced on Tuesday. Chosen by more than 11,000 theatre fans, the Theatregoers' Choice Awards named US actor Christian Slater best actor for One Flew Over the Cuckoo's Nest. Diana Rigg was best actress for Suddenly Last Summer, Dame Judi Dench was best supporting actress for the RSC's All's Well That Ends Well and The History Boys' Samuel Barnett was best supporting actor.
","The History Boys by Alan Bennett takes theatre prizes. the play also earned a best actor prize for star Richard Griffiths as teacher. the Producers was named best musical, Victoria Hamilton was best actress for Suddenly Last Summer."
007.txt,"Levy tipped for Whitbread prize

Novelist Andrea Levy is favourite to win the main Whitbread Prize book of the year award, after winning novel of the year with her book Small Island.

The book has already won the Orange Prize for fiction, and is now 5/4 favourite for the £25,000 Whitbread. Second favourite is a biography of Mary Queen of Scots, by John Guy. A panel of judges including Sir Trevor McDonald, actor Hugh Grant and writer Joanne Harris will decide the overall winner on Tuesday.

The five writers in line for the award won their respective categories - first novel, novel, biography, poetry and children's book - on 6 January. Small Island, Levy's fourth novel, is set in post-war London and centres on a landlady and her lodgers. One is a Jamaican who joined British troops to fight Hitler but finds life difficult out of uniform when he settles in the UK. ""What could have been a didactic or preachy prospect turns out to hilarious, moving humane and eye-popping. It's hard to think of anybody not enjoying it,"" wrote the judges. The judges called Guy's My Heart is My Own: The Life of Mary Queen of Scots ""an impressive and readable piece of scholarship, which cannot fail but leave the reader moved and intrigued by this most tragic and likeable of queens"". Guy has published many histories, including one of Tudor England. He is a fellow at Clare College, Cambridge and became a honorary research professor of the University of St Andrews in 2003.

The other contenders include Susan Fletcher for Eve Green, which won the first novel prize. Fletcher has recently graduated from the University of East Anglia's creative writing course. The fourth book in the running is Corpus, Michael Symmons Roberts' fourth collection of poems. As well as writing poetry, Symmons Roberts also makes documentary films. Geraldine McCaughrean is the final contender, having won the children's fiction category for the third time for Not the End of the World. McCaughrean, who went into magazine publishing after studying teaching, previously won the category in 1987 with A Little Lower than Angels and in 1994 with Gold Dust.
",Andrea Levy is favourite to win the main Whitbread Prize book of the year award. second favourite is a biography of Mary Queen of Scots by John Guy. a panel of judges will decide the overall winner on Tuesday.
008.txt,"West End to honour finest shows

The West End is honouring its finest stars and shows at the Evening Standard Theatre Awards in London on Monday.

The Producers, starring Nathan Lane and Lee Evans, is up for best musical at the ceremony at the National Theatre. It is competing against Sweeney Todd and A Funny Thing Happened on the Way to the Forum for the award. The Goat or Who is Sylvia? by Edward Albee, The Pillowman by Martin McDonagh and Alan Bennett's The History Boys are shortlisted in the best play category.

Pam Ferris, Victoria Hamilton and Kelly Reilly are nominated for best actress. Ferris - best known for her television roles in programmes such as The Darling Buds of May - has made the shortlist for her role in Notes on Falling Leaves, at the Royal Court Theatre. Meanwhile, Richard Griffiths, who plays Hector in The History Boys at the National Theatre, will battle it out for the best actor award with Douglas Hodge (Dumb Show) and Stanley Townsend (Shining City). The best director shortlist includes Luc Bondy for Cruel and Tender, Simon McBurney for Measure for Measure, and Rufus Norris for Festen.

Festen is also shortlisted in the best designer category where Ian MacNeil, Jean Kalman and Paul Arditti will be up against Hildegard Bechtler, for Iphigenia at Aulis, and Paul Brown, for False Servant. The Milton Shulman Award for outstanding newcomer will be presented to Dominic Cooper (His Dark Materials and The History Boys), Romola Garai (Calico), Eddie Redmayne (The Goat, or Who is Sylvia?) or Ben Wishaw (Hamlet). And playwrights David Eldridge, Rebecca Lenkiewicz and Owen McCafferty will fight it out for The Charles Wintour Award and a £30,000 bursary. Three 50th Anniversary Special Awards will also be presented to an institution, a playwright and an individual.
","the Producers, starring Nathan Lane and Lee Evans, is up for best musical at the ceremony at the national theatre. it is competing against Sweeney Todd and A Funny Thing Happened on the Way to the Forum for the award."
009.txt,"Da Vinci Code is 'lousy history'

The plot of an international bestseller that thousands of readers are likely to receive as a Christmas present is 'laughable', a clergyman has said.

The Da Vinci Code claims Jesus was not crucified, but married Mary Magdalene and died a normal death. It claims this was later covered up by the Church. The Bishop of Durham, the Rt Rev Dr Tom Wright, described the novel as a ""great thriller"" but ""lousy history"". The book has sold more than seven million copies worldwide. Despite enjoying Dan Brown's conspiracy theory, the Bishop said there was a lack of evidence to back up its claims.

Writing his Christmas message in the Northern Echo, the Bishop said: ""Conspiracy theories are always fun - fun to invent, fun to read, fun to fantasise about. ""Dan Brown is the best writer I've come across in the genre, but anyone who knows anything about 1st century history will see that this underlying material is laughable."" A great deal of credible evidence proves the Biblical version of Jesus' life was true, according to the Bishop. ""The evidence for Jesus and the origins of Christianity is astonishingly good,"" he said. ""We have literally a hundred times more early manuscripts for the gospels and letters in the New Testament than we have for the main classical authors like Cicero, Virgil and Tacitus.

""Historical research shows that they present a coherent and thoroughly credible picture of Jesus, with all sorts of incidental details that fit the time when he lived, and don't fit the world of later legend."" Brown's book has become a publishing phenomenon, consistently topping book charts in the UK and US. The Da Vinci Code has been translated into 42 languages and has spawned its own cottage industry of publications, including guides on to how to read the book, rebuttals and counter claims. The book, which has become an international best-seller in little over two years, is set to be made into a film starring Tom Hanks.
","the da Vinci Code claims Jesus was not crucified, but married Mary Magdalene. it claims this was later covered up by the Church. the book has sold more than seven million copies worldwide. the bishop of Durham said there was a lack of evidence to back up its claims."
010.txt,"Uganda bans Vagina Monologues

Uganda's authorities have banned the play The Vagina Monologues, due to open in the capital, Kampala this weekend.

The Ugandan Media Council said the performance would not be put on as it promoted and glorified acts such as lesbianism and homosexuality. It said the production could go ahead if the organisers ""expunge all the offending parts"". But the organisers of the play say it raises awareness of sexual abuse against women. ""The play promotes illegal, unnatural sexual acts, homosexuality and prostitution, it should be and is hereby banned,"" the council's ruling said.

The show, which has been a controversial sell-out around the world, explores female sexuality and strength through individual women telling their stories through monologues. Some parliamentarians and church leaders are also siding with the Media Council, Uganda's New Vision newspaper reports. ""The play is obscene and pornographic although it was under the guise of women's liberation,"" MP Kefa Ssempgani told parliament.

But the work's author, US playwright Eve Ensler, says it is all about women's empowerment. ""There is obviously some fear of the vagina and saying the word vagina,"" Ms Ensler told the BBC. ""It's not a slang word or dirty word it's a biological, anatomical word."" She said the play is being produced and performed by Ugandan women and it is not being forced on them. The four Ugandan NGOs organising the play intended to raise money to campaign to stop violence against women and to raise funds for the war-torn north of the country. ""I'm extremely outraged at the hypocrisy,"" the play's organiser in Uganda, Sarah Mukasa, told the BBC's Focus on Africa programme. ""I'm amazed that this country Uganda gives the impression that it is progressive and supports women's rights and the notions of free speech; yet when women want to share their stories the government uses the apparatus of state to shut us up.""
","the play is due to open in the capital, Kampala this weekend. the play promotes illegal, unnatural sexual acts, homosexuality and prostitution. but the organisers say it raises awareness of sexual abuse against women."
